metric,metric_key,probe,orientation,n_complete_charts,pooled_spearman_dose,mean_within_chart_spearman,mean_maxdose_oriented_delta,median_maxdose_raw_delta,improve_minus_worsen,phase,spec_sha256,source_sha256
density_energy_response,density_energy_spearman,C1_timing_jitter,higher_is_better,170,-0.01756580882147376,-0.1090684182163256,-0.008615220321936378,-0.006124925795547964,-0.1941176470588235,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C1s_sparse_jitter,higher_is_better,170,-0.001554568513420297,-0.07895919314586057,-0.0007639097873761561,0.0,-0.11176470588235296,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C2_anchor_shift,higher_is_better,170,0.00044225127266312255,0.009112901991076275,0.00019708492953792096,0.0,0.011764705882352941,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C3_type_shuffle,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C4_loop_collapse,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C5_blandification,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C6_density_scale,higher_is_better,170,0.004623462627247097,-0.06,-0.018780326833819132,-0.012353013991723324,-0.28235294117647064,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C7_burst_insert,higher_is_better,170,-0.09229503511261089,-0.3423529411764706,-0.04419783074671999,-0.037816548440473774,-0.4705882352941177,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
density_energy_response,density_energy_spearman,C8_bar_shuffle,higher_is_better,170,-0.38623334680746363,-0.5847058823529412,-0.1888747752471952,-0.1810582308931404,-0.6588235294117648,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C1_timing_jitter,higher_is_better,170,-0.01743230128048397,-0.006951875788200745,-0.0021751274536490426,0.0,-0.0117647058823529,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C1s_sparse_jitter,higher_is_better,170,-0.11634111265265036,-0.23894058008611355,-0.0030482458533206843,0.0,-0.30588235294117644,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C2_anchor_shift,higher_is_better,170,-0.5592346818430878,-0.6427865907799317,-0.22366940203176686,-0.219375,-0.8470588235294118,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C3_type_shuffle,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C4_loop_collapse,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C5_blandification,higher_is_better,170,0.0,0.0,0.0,0.0,0.0,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C6_density_scale,higher_is_better,170,-0.29193863512942847,-0.4692334174474909,-0.020914407352804767,-0.017026213470462848,-0.6176470588235294,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C7_burst_insert,higher_is_better,170,-0.08840895874938355,-0.40501469600520634,-0.003018136885062302,-0.0002677490472918209,-0.44705882352941173,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
run_head_onset_support,energy_support_rate_raw,C8_bar_shuffle,higher_is_better,170,-0.4702892761724597,-0.6924104790448481,-0.05110673527898778,-0.0406896551724138,-0.7764705882352941,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C1_timing_jitter,higher_is_better,170,-0.14185319394032034,-0.30470588235294116,-2.6824725533402978,0.10969313888546628,-0.411764705882353,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C1s_sparse_jitter,higher_is_better,170,-0.08624771868553452,-0.1776925236780995,-0.9950336001618382,0.014254584092886269,-0.23529411764705888,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C2_anchor_shift,higher_is_better,170,-2.680294376363618e-05,0.019585268085535394,4.208752300806281e-05,0.0,-0.017647058823529405,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C3_type_shuffle,higher_is_better,170,-0.43179120536203325,-0.7094117647058823,-2.460106003219303,1.71318251358049,-0.8352941176470587,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C4_loop_collapse,higher_is_better,170,-0.4817011539855692,-0.6067569605767678,-3.986466299998891,3.008035634972042,-0.8117647058823529,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C5_blandification,higher_is_better,170,-0.20601211373146666,-0.10588235294117647,-0.573889501158429,0.5178792913501953,-0.3176470588235294,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C6_density_scale,higher_is_better,170,-0.6615772979362139,-0.7705882352941177,-15.727305625456424,7.964599556059769,-0.8588235294117648,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C7_burst_insert,higher_is_better,170,-0.6022696635684399,-0.8035294117647057,-36.39088172048749,44.90476311152214,-0.8823529411764706,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
human_chart_gap,manifold_gap_raw,C8_bar_shuffle,higher_is_better,170,-0.2077475873843029,-0.5823529411764706,-1.9466829771044392,0.4771416583706438,-0.6941176470588235,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,46d2f6acea1184f6d1c995a0ef4738e5c9b239c61d3609e764e8cfff1c564298
